timestamp,memory_used_mb,memory_total_mb,gpu_utilization_percent,temperature_c,power_w
2026/09/14 19:13:55.240,1136.0,6141.0,28.0,52.0,21.43
2026/09/14 19:14:00.310,1149.0,6141.0,30.0,52.0,27.49
2026/09/14 19:14:05.375,1150.0,6141.0,4.0,51.0,21.56
2026/09/14 19:14:10.435,1150.0,6141.0,29.0,52.0,26.14
2026/09/14 19:14:15.496,1142.0,6141.0,32.0,53.0,26.4
2026/09/14 19:14:20.580,1134.0,6141.0,27.0,53.0,29.39
2026/09/14 19:14:25.637,1132.0,6141.0,25.0,53.0,26.04
2026/09/14 19:14:30.704,1132.0,6141.0,17.0,52.0,24.85
2026/09/14 19:14:35.775,1132.0,6141.0,17.0,53.0,23.92
2026/09/14 19:14:40.844,1132.0,6141.0,20.0,53.0,23.97
2026/09/14 19:14:45.904,1131.0,6141.0,25.0,53.0,32.95
2026/09/14 19:14:50.968,1131.0,6141.0,23.0,52.0,26.08
2026/09/14 19:14:56.047,1131.0,6141.0,26.0,51.0,26.19
2026/09/14 19:15:01.128,1131.0,6141.0,38.0,53.0,33.03
2026/09/14 19:15:06.235,1150.0,6141.0,21.0,51.0,25.18
2026/09/14 19:15:11.336,1160.0,6141.0,15.0,50.0,23.48
2026/09/14 19:15:16.409,1105.0,6141.0,18.0,50.0,22.89
2026/09/14 19:15:21.487,1251.0,6141.0,29.0,50.0,25.19
2026/09/14 19:15:26.567,1182.0,6141.0,24.0,50.0,25.29
2026/09/14 19:15:31.642,1175.0,6141.0,23.0,50.0,25.79
2026/09/14 19:15:36.726,1175.0,6141.0,25.0,49.0,25.72
2026/09/14 19:15:41.787,1175.0,6141.0,24.0,50.0,25.59
2026/09/14 19:15:46.856,1158.0,6141.0,31.0,49.0,25.42
2026/09/14 19:15:51.920,1150.0,6141.0,22.0,50.0,25.5
2026/09/14 19:15:56.994,1162.0,6141.0,26.0,50.0,25.06
2026/09/14 19:16:02.058,1154.0,6141.0,20.0,50.0,24.3
2026/09/14 19:16:07.130,1146.0,6141.0,20.0,50.0,25.32
2026/09/14 19:16:12.223,1144.0,6141.0,30.0,50.0,25.54
2026/09/14 19:16:17.294,1165.0,6141.0,19.0,50.0,24.37
2026/09/14 19:16:22.354,1153.0,6141.0,25.0,50.0,25.66
2026/09/14 19:16:27.422,1169.0,6141.0,33.0,50.0,26.86
2026/09/14 19:16:32.488,1134.0,6141.0,24.0,50.0,24.57
2026/09/14 19:16:37.553,1128.0,6141.0,31.0,51.0,25.37
2026/09/14 19:16:42.617,1116.0,6141.0,31.0,50.0,23.98
2026/09/14 19:16:47.686,1116.0,6141.0,30.0,50.0,27.04
2026/09/14 19:16:52.755,1115.0,6141.0,20.0,50.0,24.8
2026/09/14 19:16:57.826,1115.0,6141.0,25.0,50.0,26.89
